L,Cmps,QPS,Recall
1700,14915,132.275,100
1400,13164,153.61,100
1100,11232,183.655,99.95
1000,10535,196.078,99.95
900,9812,211.864,99.95
800,9056,228.833,99.95
700,8259,250,99.95
600,7414,284.9,99.95
500,6517,326.797,99.95
400,5552,390.625,99.95
300,4493,488.998,99.95
250,3927,563.38,99.7
200,3320,675.676,99.6
180,3066,735.294,99.6
160,2803,809.717,99.55
140,2533,900.901,99.5
120,2251,1020.41,99.45
100,1957,1176.47,99.25
90,1806,1282.05,99.05
80,1650,1408.45,98.8
70,1490,1562.5,98.45
60,1324,1769.91,98.2
55,1241,1904.76,97.9
50,1155,2040.82,97.7
45,1067,2222.22,97.15
40,977,2439.02,96.55
35,889,2666.67,95.95
30,797,2985.07,94.95
25,701,3448.28,93.3
20,605,4000,90.95
15,508,4761.9,87.55
10,403,6060.61,81.95
