L,Cmps,QPS,Recall
1700,60763,28.936,93.83
1400,53149,32.8785,92.77
1100,44649,41.0543,90.63
1000,41659,42.1852,90.13
900,38514,44.5117,89.2
800,35232,51.7732,87.98
700,31882,57.501,86.94
600,28326,63.3473,85.37
500,24593,74.0192,83.08
400,20530,85.3971,79.64
300,16328,105.009,75.7
250,14025,123.183,72.7
200,11659,159.008,68.86
180,10666,174.459,66.94
160,9647,193.349,65.02
140,8620,216.638,62.85
120,7563,246.853,60.15
100,6495,287.522,57.35
90,5947,313.48,55.28
80,5396,346.62,53.24
70,4836,386.698,51.42
60,4281,429.185,48.79
55,3984,463.822,47.08
50,3688,502.26,45.5
45,3394,545.554,43.72
40,3094,597.729,41.86
35,2778,665.779,39.49
30,2465,751.88,36.98
25,2144,864.304,34.36
20,1810,1022.49,31.01
15,1470,1259.45,27.67
10,1122,1650.17,23.4
