L,Cmps,QPS,Recall
1700,19028,87.3591,97.8
1400,16789,105.075,97.25
1100,14305,122.444,96.32
1000,13436,125.408,95.97
900,12522,137.287,95.59
800,11500,148.148,94.92
700,10494,166.639,94.39
600,9392,185.977,93.49
500,8231,211.461,92.16
400,6975,252.972,90.27
300,5638,326.797,87.74
250,4890,363.372,85.9
200,4130,424.088,83.69
180,3788,461.681,82.17
160,3461,529.101,80.84
140,3118,566.893,79.21
120,2762,644.33,77.17
100,2387,747.384,74.54
90,2185,816.327,72.37
80,1993,891.266,70.52
70,1787,998.004,68.45
60,1587,1126.13,65.82
55,1481,1206.27,64.3
50,1380,1297.02,63.04
45,1270,1400.56,61.15
40,1161,1536.1,59.21
35,1047,1703.58,56.82
30,932,1912.05,54.33
25,812,2188.18,51.33
20,689,2570.69,47.6
15,560,3076.92,42.94
10,427,4081.63,36.71
