efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9234,63.0022,53.3838,16721.1
1400,0.9161,75.5447,62.1233,14552.5
1100,0.9071,90.4845,71.8833,12230
1000,0.9013,94.6139,74.4652,11411.8
900,0.8961,111.55,84.5709,10569.6
800,0.89,123.972,91.5237,9698.9
700,0.8834,138.925,99.4237,8791.73
600,0.8743,158.474,109.051,7846.14
500,0.861,184.726,120.872,6851.6
400,0.843,222.472,135.966,5800.19
300,0.8173,281.747,156.028,4666.55
250,0.799,328.568,169.396,4059.64
200,0.7751,394.721,185.417,3421.07
180,0.7649,432.477,193.346,3153.54
160,0.7501,475.899,201.568,2878.26
140,0.7333,530.983,210.832,2593.36
120,0.7116,604.194,221.488,2297.5
100,0.6855,704.008,233.631,1992.17
90,0.6664,769.583,240.429,1833.68
80,0.6475,850.711,247.813,1670.89
70,0.6246,949.895,255.587,1504.48
60,0.5977,1080.33,264.168,1332.56
55,0.5798,1163.56,268.871,1244.2
50,0.558,1263.19,273.862,1154.68
45,0.5387,1379.83,278.975,1062.48
40,0.5141,1521.15,284.316,969.914
35,0.4883,1703.59,290.123,874.179
30,0.455,1938.9,296.246,776.341
25,0.4158,2264.17,302.894,675.418
20,0.3694,2732.9,310.007,570.557
15,0.3041,3465.93,317.627,461.288
10,0.2129,4832.74,326.079,346.383
