ef,recall,qps,dist_comp
1700,0.6396,62.3515,6230.37
1400,0.6238,79.971,5486.2
1100,0.606,108.386,4692.21
1000,0.5974,120.141,4411.66
900,0.5893,135.884,4122.68
800,0.5794,156.295,3819.52
700,0.5681,175.514,3509.74
600,0.5567,215.204,3182.03
500,0.5428,252.982,2833.81
400,0.5218,329.479,2462.13
300,0.4984,446.183,2057.91
250,0.4809,528.158,1834.58
200,0.4598,667.93,1597.29
180,0.4465,725.656,1494.54
160,0.4348,826.726,1390.01
140,0.4223,920.323,1279.67
120,0.4078,1048.08,1166.53
100,0.3911,1251.15,1042.27
90,0.3812,1310.49,978.418
80,0.3689,1511.44,910.479
70,0.3551,1686.67,841.279
60,0.3403,1924.58,768.846
55,0.3327,2058.53,730.356
50,0.3239,2034.96,692.306
45,0.3153,2204.76,654.707
40,0.3033,2391.91,613.37
35,0.2926,2625.81,569.234
30,0.2787,3142.73,522.124
25,0.2601,3614.56,474.635
20,0.2361,3830.14,421.53
15,0.2085,4619.34,365.406
10,0.1672,5890.74,300.761
