L,Cmps,QPS,Recall
1700,7524,189.394,99.92
1400,6780,215.008,99.92
1100,5940,251.319,99.92
1000,5631,267.38,99.92
900,5307,286.533,99.91
800,4965,308.833,99.9
700,4598,336.814,99.89
600,4202,373.134,99.87
500,3772,421.585,99.84
400,3298,488.759,99.83
300,2762,594.177,99.7
250,2464,671.592,99.64
200,2138,783.085,99.51
180,1998,843.882,99.47
160,1851,916.59,99.41
140,1697,1002,99.28
120,1533,1121.08,99.01
100,1359,1277.14,98.74
90,1266,1375.52,98.57
80,1171,1488.1,98.3
70,1071,1639.34,98.06
60,965,1834.86,97.54
55,911,1956.95,97.21
50,854,2087.68,96.64
45,796,2237.14,96.19
40,737,2427.18,95.63
35,673,2688.17,94.78
30,609,2976.19,93.75
25,542,3367,92.15
20,472,3891.05,90.15
15,397,4672.9,86.96
10,316,5952.38,81.16
