efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.5705,106.874,96.9736,4202.38
1400,0.5667,124.242,111.061,3693.68
1100,0.5632,173.309,148.692,3139.99
1000,0.5616,190.4,161.099,2942.62
900,0.5588,209.097,174.284,2738.21
800,0.5558,232.449,190.212,2524.87
700,0.5521,261.056,208.949,2301.17
600,0.5473,298.194,232.084,2064.47
500,0.5395,348.782,261.616,1814.89
400,0.5303,421.254,300.378,1546.19
300,0.5164,537.101,354.972,1256.01
250,0.5077,624.61,391.195,1098.84
200,0.4947,754.32,438.41,932.224
180,0.488,821.103,460.162,862.047
160,0.481,912.138,487.424,789.501
140,0.4712,1020.12,516.648,713.891
120,0.456,1160.47,550.36,635.823
100,0.4412,1349.08,589.441,553.46
90,0.4291,1478.93,612.955,511.147
80,0.4189,1640.46,639.035,467.148
70,0.4037,1835.69,666.654,422.001
60,0.3872,2085.07,696.924,375.987
55,0.3752,2244.87,713.91,351.796
50,0.3633,2438.38,732.395,327.093
45,0.3509,2646.88,750.144,302.654
40,0.3348,2922.75,770.761,277.197
35,0.3157,3269.6,792.944,250.694
30,0.2943,3708.61,816.381,223.592
25,0.2697,4313.11,842.371,195.478
20,0.2381,5136.69,869.601,166.52
15,0.1976,6461.61,900.873,135.799
10,0.139,8835.25,935.928,103.474
