efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.7632,71.9739,64.1931,8835.54
1400,0.7576,86.0629,75.1683,7724.91
1100,0.7507,114.501,95.9908,6527.02
1000,0.7475,131.558,107.697,6101.73
900,0.7436,137.56,111.686,5662.15
800,0.7399,148.824,118.999,5206.8
700,0.7365,161.804,127.156,4728.59
600,0.7297,201.987,150.718,4230.03
500,0.7209,236.416,169.093,3703.84
400,0.7106,285.595,192.844,3144.19
300,0.6916,362.366,225.036,2541.45
250,0.6776,418.552,245.503,2216.31
200,0.6601,459.948,259.185,1872.74
180,0.6519,520.75,277.44,1728.62
160,0.6416,624.718,304.432,1579.9
140,0.629,702.129,321.717,1425.79
120,0.614,798.698,340.586,1266.51
100,0.5937,908.544,359.099,1099.84
90,0.5827,1007.41,373.591,1012.34
80,0.5699,1112.95,387.208,925.003
70,0.5502,1243.92,401.931,834.311
60,0.5302,1413.57,418.146,741.152
55,0.5149,1511.34,426.303,692.766
50,0.4989,1675.19,438.398,643.534
45,0.4817,1825.43,448.049,593.052
40,0.4604,1863.3,450.296,541.962
35,0.4376,2029.11,459.367,489.209
30,0.4108,2297.97,471.865,434.78
25,0.3754,2671.48,485.813,378.898
20,0.3383,3230.51,501.597,320.539
15,0.2819,4082.03,518.388,260.202
10,0.1969,5628.09,537.126,197.093
