nprobe,recall,qps
1,0.3281,21.8
2,0.4369,8.0
3,0.5113,6.1
5,0.5877,5.9
10,0.7039,5.9
20,0.8629,5.9
30,0.9254,5.9
50,0.9456,5.8
100,0.9627,5.8
200,0.9766,5.8
500,0.9931,5.6
1000,1.0000,5.5
