ef,recall,qps
2000,0.9987,15.7
1900,0.9987,14.5
1800,0.9985,15.4
1700,0.9989,10.3
1600,0.9985,6.9
1500,0.9988,7.4
1400,0.9984,7.7
1300,0.9983,7.5
1200,0.9983,7.5
1100,0.9982,7.7
1000,0.9982,7.7
900,0.9982,7.6
800,0.9982,7.7
700,0.9982,7.7
600,0.9982,7.7
500,0.9979,7.7
400,0.9980,7.7
300,0.9973,7.6
250,0.9971,7.7
200,0.9972,7.8
180,0.9970,7.8
160,0.9965,7.7
140,0.9965,7.7
120,0.9959,7.7
100,0.9958,7.7
90,0.9958,7.8
80,0.9957,7.8
70,0.9956,7.8
60,0.9952,7.8
55,0.9947,7.8
50,0.9931,7.8
45,0.9924,7.8
40,0.9921,7.7
35,0.9919,7.7
30,0.9915,7.7
25,0.9901,7.8
20,0.9890,7.8
15,0.9877,7.7
10,0.9837,7.8
