L,Cmps,QPS,Recall
1700,18439,112.233,99.4
1400,16388,128.452,99
1100,14087,151.86,99
1000,13249,162.866,99
900,12375,174.978,98.85
800,11451,190.84,98.85
700,10476,210.748,98.85
600,9440,234.467,98.65
500,8329,266.667,98.6
400,7124,316.456,98.35
300,5793,388.35,98.25
250,5068,448.43,98.15
200,4295,524.934,97.65
180,3973,569.801,97.5
160,3638,630.915,97.3
140,3292,687.285,97.15
120,2926,772.201,96.8
100,2548,884.956,96.15
90,2352,961.538,96
80,2152,1058.2,95.6
70,1948,1162.79,94.95
60,1733,1282.05,93.9
55,1622,1369.86,93.15
50,1515,1459.85,92.8
45,1401,1574.8,92.2
40,1289,1709.4,91.3
35,1175,1869.16,90.15
30,1060,2061.86,88.8
25,941,2325.58,87.1
20,818,2666.67,84.1
15,677,3125,78.25
10,526,3921.57,69.3
