efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.961,59.8843,32.0171,10254.2
1400,0.9585,72.9145,35.3993,8915.27
1100,0.956,92.0265,39.3687,7469.05
1000,0.9545,101.034,40.9297,6962.23
900,0.952,111.173,42.4999,6431.84
800,0.9495,124.302,44.2882,5879.94
700,0.9475,141.32,46.2736,5310.98
600,0.942,163.074,48.3872,4718.08
500,0.9355,191.623,50.6251,4102.9
400,0.9295,235.248,53.2332,3444.48
300,0.9075,303.349,56.0821,2742.31
250,0.897,359.107,57.7396,2368.11
200,0.881,439.01,59.4802,1980.95
180,0.874,484.062,60.2399,1818.02
160,0.863,535.584,60.9698,1652.99
140,0.853,603.049,61.7563,1483.51
120,0.8395,685.794,62.5289,1309.28
100,0.811,819.29,63.4718,1127.32
90,0.793,905.322,63.9426,1034.87
80,0.773,986.257,64.3154,941.465
70,0.7575,1113.25,64.7974,844.49
60,0.724,1274.6,65.2784,750.485
55,0.709,1380.06,65.5349,700.59
50,0.683,1504.62,65.7935,651.67
45,0.665,1654.97,66.0559,599.98
40,0.6465,1843.5,66.3266,547.585
35,0.6115,2021.47,66.5374,492.985
30,0.5805,2306.3,66.809,439.14
25,0.5405,2682.51,67.0815,384.22
20,0.488,3229.92,67.367,328.72
15,0.3965,4056.96,67.6547,269.975
10,0.2645,5662.66,67.9761,206.255
