L,Cmps,QPS,Recall
1700,748,5420.05,99.955
1400,747,5617.98,99.955
1100,738,6006.01,99.955
1000,724,6269.59,99.955
900,695,6600.66,99.955
800,662,7017.54,99.955
700,625,7547.17,99.955
600,585,8230.45,99.955
500,541,9090.91,99.955
400,496,10309.3,99.955
300,451,12195.1,99.955
250,427,13605.4,99.955
200,400,15503.9,99.955
180,388,16393.4,99.955
160,376,17699.1,99.955
140,362,19230.8,99.955
120,346,20833.3,99.955
100,329,22988.5,99.955
90,319,24390.2,99.955
80,307,26315.8,99.955
70,295,28169,99.955
60,280,30769.2,99.955
55,272,32258.1,99.955
50,264,33898.3,99.955
45,254,35714.3,99.955
40,244,37735.8,99.95
35,232,40816.3,99.95
30,219,44444.4,99.93
25,205,48780.5,99.91
20,187,55555.6,99.85
15,167,62500,99.645
10,142,76923.1,98.83
