L,Cmps,QPS,Recall
1700,1528,1180.64,65.98
1400,1429,1295.34,66
1100,1310,1453.49,66.04
1000,1264,1519.76,66.07
900,1215,1597.44,66.12
800,1161,1692.05,66.2
700,1102,1805.05,66.4
600,1036,1956.95,66.62
500,960,2159.83,67.06
400,871,2444.99,67.82
300,767,2865.33,69.07
250,706,3184.71,70.06
200,636,3623.19,71.28
180,605,3861,71.94
160,572,4149.38,72.84
140,537,4464.29,73.7
120,498,4878.05,74.78
100,456,5524.86,76.06
90,432,5882.35,77.1
80,408,6329.11,77.94
70,383,6849.31,78.72
60,356,7518.8,79.82
55,341,7874.02,80.25
50,326,8333.33,80.8
45,310,8928.57,81.6
40,293,9523.81,82.28
35,275,10309.3,83.35
30,255,11236,84.33
25,235,12500,85.14
20,212,14285.7,86.03
15,186,16666.7,87.31
10,156,20408.2,87.74
