L,Cmps,QPS,Recall
1700,6475,348.311,89.89
1400,5730,389.864,88.67
1100,4920,445.633,86.89
1000,4629,467.508,86.23
900,4323,493.827,85.37
800,4001,526.316,84.45
700,3665,560.538,83.44
600,3311,606.061,82.02
500,2901,658.762,80.49
400,2488,729.927,78.35
300,2039,821.018,75.49
250,1791,886.525,73.62
200,1530,958.773,70.97
180,1418,992.063,69.73
160,1304,1028.81,68.35
140,1184,1078.75,67.03
120,1057,1123.6,65.23
100,932,1187.65,63.1
90,863,1221,61.78
80,794,1256.28,60.16
70,720,1291.99,58.27
60,643,1336.9,56.62
55,606,1366.12,55.62
50,564,1388.89,54.45
45,525,1414.43,53.07
40,483,1445.09,51.85
35,439,1477.1,50.08
30,395,1510.57,48.18
25,350,1547.99,46.16
20,304,1577.29,43.92
15,252,1628.66,40.61
10,195,1686.34,36.3
