L,Cmps,QPS,Recall
1700,1704,1104.97,100
1400,1694,1176.47,100
1100,1670,1298.7,100
1000,1656,1360.54,100
900,1638,1418.44,100
800,1614,1515.15,100
700,1583,1612.9,100
600,1539,1754.39,100
500,1481,1904.76,100
400,1402,2127.66,100
300,1287,2469.14,100
250,1212,2702.7,100
200,1118,3030.3,100
180,1072,3174.6,100
160,1022,3389.83,100
140,964,3636.36,100
120,897,4000,100
100,821,4347.83,100
90,780,4651.16,100
80,735,5000,100
70,685,5405.41,100
60,632,5882.35,100
55,602,6060.61,100
50,572,6451.61,100
45,540,6666.67,99.9
40,505,7407.41,99.9
35,468,8000,99.75
30,429,8695.65,99.5
25,387,9523.81,99.45
20,342,11111.1,98.85
15,290,13333.3,97.85
10,234,16666.7,96.1
