L,Cmps,QPS,Recall
1700,4348,303.398,85.45
1400,3885,331.126,84.59
1100,3389,359.842,83.58
1000,3200,373.413,83.03
900,3015,386.1,82.46
800,2816,408.998,81.84
700,2622,415.8,81.07
600,2411,437.637,80.25
500,2173,459.77,79.15
400,1917,485.201,77.89
300,1629,522.739,76.38
250,1458,547.345,75.42
200,1282,572.41,74.12
180,1221,576.701,73.54
160,1139,595.948,72.87
140,1059,604.961,72.26
120,972,625.782,71.62
100,889,635.324,70.65
90,845,646.831,70.1
80,801,660.502,69.64
70,750,668.003,69.02
60,697,682.594,68.22
55,677,684.463,67.72
50,648,693.001,67.42
45,615,696.379,67.11
40,575,709.723,66.51
35,540,715.308,65.92
30,508,725.163,65.59
25,457,738.552,64.91
20,418,740.192,64.45
15,385,757.002,63.84
10,335,766.284,63.13
