L,Cmps,QPS,Recall
1700,81639,20.1005,19.26
1400,72928,22.4366,17.77
1100,63203,24.7127,16.13
1000,59639,25.9592,15.32
900,56057,27.271,14.7
800,52278,28.2072,13.83
700,48197,30.1314,13.03
600,43985,32.0667,12.2
500,39313,34.1892,11.16
400,34438,37.3594,10.19
300,28853,40.992,9.17
250,25914,41.6458,8.62
200,22552,45.4587,7.74
180,21141,46.4835,7.27
160,19701,47.8171,7.1
140,18184,49.3681,6.73
120,16615,51.1404,6.17
100,14947,52.8178,5.85
90,13983,54.3331,5.63
80,13121,55.1724,5.42
70,12099,56.6926,5.26
60,11090,58.1564,5.01
55,10589,58.9102,4.85
50,10101,59.6872,4.68
45,9494,60.6391,4.45
40,8931,60.7091,4.32
35,8287,62.4025,3.84
30,7710,63.3754,3.82
25,7010,64.1601,3.51
20,6370,66.1989,3.11
15,5566,67.563,2.9
10,4772,70.284,2.56
