L,Cmps,QPS,Recall
1700,8099,249.938,3.09
1400,7385,286.862,3.38
1100,6581,333,3.92
1000,6267,354.736,4.16
900,5977,377.929,4.42
800,5677,401.123,4.63
700,5338,433.088,5.01
600,4997,470.367,5.34
500,4615,518.941,5.96
400,4182,581.395,6.59
300,3666,673.854,7.98
250,3329,750.751,9.61
200,2984,850.34,11.39
180,2805,902.527,12.48
160,2643,968.054,13.64
140,2452,1052.63,15.01
120,2267,1148.11,16.33
100,2093,1236.09,17.74
90,1982,1326.26,18.93
80,1883,1410.44,19.94
70,1779,1494.77,21.08
60,1668,1602.56,22.37
55,1620,1655.63,22.74
50,1558,1686.34,23.31
45,1495,1808.32,24.15
40,1422,1912.05,25.4
35,1336,2040.82,27.3
30,1266,2164.5,28.7
25,1184,2325.58,30.4
20,1103,2469.14,32.24
15,978,2849,36.02
10,866,3246.75,39.61
