probes,recall,qps
1,0.2487,141.1
2,0.3845,94.4
3,0.4738,73.1
5,0.5863,51.2
10,0.7412,29.0
20,0.8770,12.5
30,0.9228,11.4
50,0.9659,7.3
100,0.9948,3.9
200,0.9993,2.2
500,0.9998,0.4
1000,0.9998,0.4
