ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_equality/gist1m_equality_Q2_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_equality/Q2_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.6655,30.5111,35713
1400,0.6655,34.1588,32754.9
1100,0.6655,39.1543,29241.4
1000,0.6655,41.2116,27937.1
900,0.6655,43.7924,26514.5
800,0.6655,46.6853,25028
700,0.6655,50.4541,23361.2
600,0.6655,55.1572,21544.6
500,0.6655,61.4628,19524.8
400,0.6655,72.0721,17269.8
300,0.6655,90.4159,14662.5
250,0.6655,102.564,13164.5
200,0.665,117.786,11491.8
180,0.665,126.904,10781.8
160,0.665,136.147,10042
140,0.665,148.699,9263.09
120,0.6645,163.666,8440.71
100,0.664,184.672,7527.02
90,0.6645,198.216,7030.04
80,0.6645,213.447,6499.16
70,0.6645,235.849,5962.67
60,0.6625,260.756,5404.25
55,0.6615,275.862,5113.72
50,0.661,294.551,4804.47
45,0.661,314.961,4463.01
40,0.6615,342.466,4139.49
35,0.6595,373.832,3807.94
30,0.6585,418.41,3407.7
25,0.6535,478.469,2993.38
20,0.6505,563.38,2549.4
15,0.633,694.444,2074.34
10,0.611,934.579,1522.05
