ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_equality/gist1m_equality_Q5_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_equality/Q5_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.9975,13.8735,91409.2
1400,0.9975,16.0026,80159.9
1100,0.997,18.2249,67879.1
1000,0.997,20.1959,63591
900,0.9965,21.9082,59064.8
800,0.996,23.8209,54447.9
700,0.996,26.3331,49504.3
600,0.9955,29.529,44340.5
500,0.995,33.7325,38950
400,0.9915,39.9361,33049.2
300,0.986,48.9356,26709.5
250,0.9815,52.4109,23316.6
200,0.977,63.1512,19758
180,0.975,71.7875,18211.6
160,0.971,80.032,16635.1
140,0.964,89.1663,14990.3
120,0.956,93.1966,13283.9
100,0.95,107.817,11512
90,0.947,117.44,10585.6
80,0.937,129.116,9637
70,0.9255,143.472,8657.49
60,0.913,163.532,7640.48
55,0.9065,175.593,7137.84
50,0.895,189.934,6616.97
45,0.8845,207.039,6060.97
40,0.875,226.757,5540.01
35,0.8565,255.428,4943.38
30,0.836,291.545,4339.97
25,0.8125,342.466,3708.72
20,0.7775,408.163,3097.11
15,0.729,519.481,2451.88
10,0.6495,727.273,1781.92
