ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_equality/gist1m_equality_Q3_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_equality/Q3_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.8535,15.4095,75663.4
1400,0.8535,18.1389,68083.4
1100,0.8535,21.0726,59581.4
1000,0.8535,20.0321,56508.1
900,0.8535,21.4754,53229.9
800,0.8535,23.1374,49766.7
700,0.8535,25.8565,46064.2
600,0.8535,29.2954,42049.4
500,0.8535,33.5909,37722.6
400,0.8535,39.3546,32974.6
300,0.853,47.3485,27500.2
250,0.853,49.0436,24502.1
200,0.8525,57.2246,21256
180,0.8525,61.5195,19833
160,0.852,66.6667,18364.8
140,0.851,75.4717,16794.2
120,0.8495,88.8889,15124.3
100,0.8495,102.828,13222.7
90,0.848,111.049,12274.9
80,0.847,121.212,11242
70,0.844,133.779,10246.4
60,0.843,149.701,9162.17
55,0.842,159.236,8651.91
50,0.837,171.527,8046.69
45,0.8345,185.357,7447.59
40,0.833,203.459,6789.64
35,0.828,227.273,6118.97
30,0.8185,254.453,5450.88
25,0.8115,293.255,4763.43
20,0.7935,336.134,4013.24
15,0.762,397.614,3213.76
10,0.7145,558.659,2327.62
