ef,recall,qps,distance_computations_per_query
1700,0.799,0.40109,2774960
1400,0.799,0.386406,2774960
1100,0.799,0.399509,2774960
1000,0.799,0.399958,2774960
900,0.799,0.401945,2774960
800,0.799,0.395873,2774960
700,0.799,0.410581,2774960
600,0.799,0.413925,2766830
500,0.799,0.425856,2736940
400,0.799,0.446955,2659740
300,0.799,0.500611,2514510
250,0.799,0.505327,2400280
200,0.799,0.590129,2237210
180,0.799,0.621182,2156480
160,0.799,0.666949,2053080
140,0.799,0.748363,1933840
120,0.799,0.777393,1793070
100,0.799,0.913814,1621700
90,0.799,1.00504,1525810
80,0.7985,1.15793,1420160
70,0.7985,1.31782,1296470
60,0.7985,1.52608,1153710
55,0.798,1.45221,1081030
50,0.798,1.80775,1003830
45,0.798,1.88806,923008
40,0.798,2.0484,833588
35,0.798,2.11253,746770
30,0.798,2.4619,649487
25,0.7955,3.16907,538894
20,0.7915,4.12788,434769
15,0.786,5.59628,330685
10,0.766,7.84068,231046
