ef,recall,qps,distance_computations_per_query
1700,0.914,0.305655,3552260
1400,0.914,0.330621,3442200
1100,0.914,0.361926,3256580
1000,0.914,0.394113,3169590
900,0.914,0.396552,3063190
800,0.914,0.423422,2932810
700,0.914,0.480913,2769090
600,0.9135,0.544885,2569790
500,0.913,0.631164,2335370
400,0.913,0.780802,2060090
300,0.9125,1.03746,1709060
250,0.912,1.13819,1496400
200,0.9115,1.2945,1251490
180,0.9105,1.60244,1140690
160,0.9105,1.83474,1021650
140,0.9095,2.11808,892071
120,0.9075,2.48136,755641
100,0.907,2.9522,618751
90,0.9065,3.27547,549553
80,0.905,3.58096,478195
70,0.9025,4.68318,410473
60,0.899,5.45837,349429
55,0.896,5.75109,321491
50,0.893,5.87907,292977
45,0.891,7.10152,272595
40,0.8875,7.76428,252802
35,0.8815,8.53606,236062
30,0.876,9.44153,220659
25,0.8665,10.6428,203682
20,0.849,12.4332,181519
15,0.828,15.4119,152524
10,0.786,21.4892,116404
