L,Cmps,QPS,Recall
1700,6095,314.564,5.22
1400,5558,361.794,5.71
1100,4894,426.803,6.97
1000,4680,448.029,7.32
900,4400,485.673,8.07
800,4133,537.057,8.66
700,3875,584.795,9.26
600,3583,643.501,10.13
500,3214,729.927,11.75
400,2832,845.309,13.57
300,2449,1003.01,15.29
250,2183,1137.66,17.29
200,1920,1310.62,19.08
180,1824,1394.7,19.64
160,1721,1488.1,20.45
140,1596,1600,21.64
120,1477,1769.91,22.99
100,1352,1956.95,24.31
90,1281,2074.69,25.41
80,1214,2202.64,26.32
70,1135,2364.07,27.76
60,1069,2525.25,28.65
55,1033,2604.17,29.33
50,995,2739.73,29.9
45,943,2906.98,31.21
40,893,3086.42,32.35
35,850,3257.33,33.39
30,796,3472.22,34.85
25,738,3787.88,36.79
20,666,4219.41,39.58
15,606,4672.9,41.82
10,514,5555.56,46.04
