L,Cmps,QPS,Recall
1700,4123,335.121,86.37
1400,3686,364.299,85.27
1100,3210,399.68,83.93
1000,3049,413.394,83.37
900,2864,414.422,82.63
800,2675,425.713,81.93
700,2475,444.444,81.14
600,2260,467.946,80.22
500,2034,490.196,79.09
400,1769,526.039,78.01
300,1501,564.972,76.38
250,1338,591.017,75.28
200,1162,626.566,73.74
180,1085,671.141,73.07
160,1015,687.285,72.45
140,934,707.714,71.61
120,848,726.744,70.46
100,769,746.826,69.25
90,725,718.391,68.64
80,683,738.007,67.93
70,634,751.315,67.06
60,583,764.526,66.24
55,559,771.01,65.73
50,532,778.21,65.08
45,500,785.546,64.45
40,477,794.281,63.99
35,438,806.452,63.51
30,409,816.327,63.05
25,378,826.446,62.22
20,339,836.82,61.35
15,306,849.618,60.08
10,261,859.107,58.51
