1700,0.0565,6.04434,199938
1400,0.0565,7.40472,178910
1100,0.0565,8.42524,154933
1000,0.0565,8.88076,146220
900,0.0565,9.48254,136955
800,0.0565,10.8822,127153
700,0.0565,12.1813,116780
600,0.0565,12.5881,105617
500,0.0565,13.8303,93665.2
400,0.0565,15.9556,80618.1
300,0.0566,20.028,66211
250,0.0566,24.1698,58354.2
200,0.0566,29.7221,49885.3
180,0.0566,32.2685,46222.3
160,0.0566,35.2634,42466.5
140,0.0565,39.0168,38510.8
120,0.0565,43.756,34441.8
100,0.0566,50.3829,30092.9
90,0.0566,54.7166,27797.5
80,0.0566,60.1649,25369.9
70,0.0566,67.0691,22843.4
60,0.0566,76.0398,20243.1
55,0.0566,81.1162,18968.5
50,0.0566,87.7501,17598.8
45,0.0567,95.2653,16268.6
40,0.0566,104.45,14868.4
35,0.0566,115.754,13413.6
30,0.0566,130.412,11930.8
25,0.0566,151.953,10356.4
20,0.0567,181.094,8708.92
15,0.0563,228.363,6930.1
10,0.0563,319.795,5045.8
