ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_containment/gist1m_containment_Q5_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_containment/Q5_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.9945,39.604,29696.7
1400,0.9935,46.4684,25654.7
1100,0.9915,56.338,21331.9
1000,0.99,63.1712,19807.4
900,0.9895,71.2758,18255.9
800,0.988,78.7092,16640.3
700,0.9875,87.6424,14993.1
600,0.9845,99.5025,13271.6
500,0.981,115.54,11484.6
400,0.97,138.793,9587.85
300,0.962,175.747,7588.21
250,0.954,205.339,6530.59
200,0.9425,246.914,5434.91
180,0.9365,269.179,4982.85
160,0.9235,298.507,4520.05
140,0.914,334.448,4049.18
120,0.9,380.952,3566.66
100,0.8805,444.444,3062.2
90,0.871,485.437,2813.43
80,0.857,534.759,2549.34
70,0.8375,598.802,2292.22
60,0.81,680.272,2030.87
55,0.7965,724.638,1903.78
50,0.7795,790.514,1756.63
45,0.7685,858.369,1624.06
40,0.7515,943.396,1480.88
35,0.7315,1041.67,1349.81
30,0.6925,1098.9,1202.5
25,0.659,1351.35,1051.01
20,0.615,1438.85,900.6
15,0.5555,1818.18,749.82
10,0.477,2439.02,576.745
