ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_containment/gist1m_containment_Q1_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_containment/Q1_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,1,50.9944,19320.5
1400,1,52.1241,19009
1100,1,53.2198,18629.6
1000,1,53.6337,18476.2
900,1,55.2181,18049.6
800,1,57.6037,17503.3
700,1,61.6903,16586.9
600,1,67.3627,15540.1
500,1,74.3218,14376.9
400,1,85.3242,12831.6
300,1,101.368,11161.2
250,1,113.25,10175.5
200,1,128.866,9090.65
180,1,137.931,8593.87
160,0.999,145.879,8125.6
140,0.9985,158.604,7602.34
120,0.998,175.439,6947.99
100,0.998,177.462,6276.98
90,0.998,189.215,5911.43
80,0.997,201.613,5582.7
70,0.996,219.298,5164.28
60,0.9945,241.255,4729.93
55,0.9945,257.069,4463.15
50,0.9925,275.103,4197.88
45,0.992,289.017,3994.11
40,0.9895,308.166,3770.88
35,0.9855,337.268,3464.52
30,0.98,389.105,3241
25,0.9695,461.894,2853.03
20,0.954,555.556,2406.13
15,0.9225,657.895,1969.57
10,0.88,790.514,1503.99
