ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_containment/gist1m_containment_Q4_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_containment/Q4_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.998,25.6246,45567.9
1400,0.9975,29.8909,39741.2
1100,0.997,35.6252,33475.4
1000,0.996,40.0641,31239.2
900,0.9955,45.1977,28940.2
800,0.9935,49.5786,26515.3
700,0.992,54.9451,24003.1
600,0.99,61.7093,21420.5
500,0.988,70.9723,18687.2
400,0.9845,84.7817,15750.1
300,0.981,106.326,12622.5
250,0.976,122.926,10948.2
200,0.97,141.343,9161.7
180,0.964,143.781,8433.81
160,0.9605,160.385,7681.05
140,0.952,179.533,6911.31
120,0.946,203.666,6111.45
100,0.934,238.379,5277.01
90,0.927,256.739,4860.55
80,0.919,280.112,4407.73
70,0.906,317.965,3949.99
60,0.8895,363.636,3481.05
55,0.8815,384.615,3249.75
50,0.871,415.8,3013.43
45,0.8575,458.716,2768.04
40,0.8435,505.051,2509.18
35,0.822,569.801,2241.2
30,0.8005,641.026,1987.28
25,0.7675,751.88,1704.73
20,0.7305,892.857,1440.11
15,0.6745,1129.94,1143.6
10,0.605,1503.76,868.63
