efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.008,131.036,18.8087,3071.29
1400,0.008,163.9,19.3661,2604.07
1100,0.008,212.114,19.9005,2183.51
1000,0.008,233.698,20.0745,2030.07
900,0.008,263.029,20.2686,1883.64
800,0.008,297.577,20.4516,1741.37
700,0.008,339.086,20.6251,1603.39
600,0.008,393.79,20.8009,1469.02
500,0.008,467.057,20.9747,1322.15
400,0.009,582.965,21.1637,1153.51
300,0.009,746.508,21.3333,997.99
250,0.009,871.072,21.4209,904.175
200,0.0085,1072.25,21.5202,805.59
180,0.0085,1151.86,21.5501,764.4
160,0.0085,1302.3,21.5967,724.11
140,0.0085,1418.18,21.626,683.81
120,0.0085,1586.92,21.6612,638.885
100,0.0085,1864.35,21.7052,589.205
90,0.008,2012.17,21.7238,561.25
80,0.008,2202.16,21.7441,531.225
70,0.008,2433.24,21.7645,498.85
60,0.008,2712.16,21.7845,463.685
55,0.0075,2879.44,21.7947,444.225
50,0.008,3118.57,21.8074,423.225
45,0.0075,3359.37,21.8183,401.395
40,0.0075,3643.45,21.8293,377.805
35,0.008,4005.7,21.8412,351.485
30,0.008,4481,21.8538,323.92
25,0.009,5137.97,21.8675,291.49
20,0.0105,6058.2,21.8816,255.85
15,0.009,7421.18,21.8961,215.62
10,0.0075,9932.52,21.9125,169.92
