ef,recall,qps,dist_comp
1700,0.139,71.5904,4008.18
1400,0.139,92.7887,3519.84
1100,0.139,128.693,2984.57
1000,0.1395,148.518,2746.32
900,0.14,174.317,2503.95
800,0.14,205.809,2265.01
700,0.14,247.841,2000.61
600,0.14,301.05,1777.3
500,0.14,372.826,1574.11
400,0.1395,486.805,1350.37
300,0.1395,678.173,1100.32
250,0.1395,812.104,976.785
200,0.138,993.568,854.15
180,0.138,1087.35,810.64
160,0.138,1182.8,770.96
140,0.1375,1310.97,728.785
120,0.138,1461.04,691.465
100,0.1385,1784.21,652.065
90,0.1385,1898.1,630.85
80,0.138,1966.71,612.885
70,0.138,2091.01,593.145
60,0.137,2307.08,575.87
55,0.1365,2416.38,561.46
50,0.1365,2524.58,545.715
45,0.1355,2666.37,536.02
40,0.135,2862.58,524.345
35,0.1325,2945.04,512.925
30,0.131,3133.31,500.88
25,0.1295,3225.66,487.815
20,0.1285,3466.39,474.265
15,0.127,3726.36,453.76
10,0.1255,3945.02,434.86
