1700,0.704,0.808496,913374
1400,0.7,0.877821,855645
1100,0.6955,0.984034,785850
1000,0.692,1.01595,758639
900,0.688,1.06212,728973
800,0.686,1.11926,695763
700,0.682,1.17189,658035
600,0.673,1.27344,616087
500,0.6665,1.41726,568386
400,0.652,1.61527,513981
300,0.637,1.93641,444737
250,0.6285,2.15227,403695
200,0.6195,2.48231,358320
180,0.6135,2.64421,338837
160,0.608,2.87113,317476
140,0.6015,3.01518,294405
120,0.5925,3.40275,267971
100,0.5855,3.91389,239680
90,0.581,4.3177,224650
80,0.573,4.50156,208093
70,0.563,5.02475,191365
60,0.553,5.60224,173419
55,0.545,5.86115,163936
50,0.5375,6.44371,154257
45,0.528,6.98275,143524
40,0.5155,7.48335,132120
35,0.505,8.47637,120420
30,0.4895,9.2477,107976
25,0.472,10.9218,94313.2
20,0.451,12.9308,79514.5
15,0.4225,16.6681,63066.4
10,0.3925,24.3487,44458.1
