L,Cmps,QPS,Recall
1700,2596,578.035,89.1
1400,2431,655.738,89.15
1100,2244,754.717,89.15
1000,2183,778.21,89.15
900,2108,843.882,89.1
800,2044,888.889,89.15
700,1974,961.538,89.15
600,1878,1036.27,88.95
500,1752,1156.07,88.6
400,1602,1324.5,88.35
300,1416,1587.3,88.3
250,1288,1818.18,88.1
200,1148,2127.66,87.95
180,1090,2247.19,87.8
160,1023,2439.02,87.75
140,949,2631.58,87.5
120,866,2898.55,87.1
100,776,3278.69,86.9
90,730,3508.77,86.8
80,678,3773.58,86.55
70,625,4081.63,86.15
60,562,4651.16,85.1
55,530,4878.05,85
50,500,5263.16,84.7
45,465,5555.56,84.55
40,435,6060.61,84.15
35,401,5405.41,83.7
30,366,7407.41,82.45
25,328,8333.33,81.8
20,288,9523.81,80.55
15,244,11111.1,79.2
10,195,14285.7,75.9
