L,Cmps,QPS,Recall
1700,64561,29.6472,58.15
1400,57256,33.9328,55.35
1100,49137,40.1526,52.85
1000,46157,38.8954,51.15
900,43079,43.2432,49.8
800,39777,49.8504,48
700,36304,54.9904,46.3
600,32550,61.7094,43.2
500,28666,70.4225,40.3
400,24461,83.1601,37.25
300,19841,103.52,33.85
250,17436,118.343,32.5
200,14813,140.154,30.3
180,13683,152.091,29.05
160,12532,166.389,27.9
140,11386,183.655,26.65
120,10156,206.825,24.95
100,8899,236.407,23.6
90,8209,256.41,22.95
80,7503,280.112,21.7
70,6809,308.642,20.5
60,6071,345.423,19.8
55,5699,368.324,19.1
50,5303,396.04,18.35
45,4911,426.439,17.8
40,4490,466.2,16.95
35,4063,511.509,16.6
30,3625,571.429,15.85
25,3184,647.249,15.15
20,2719,751.88,14.55
15,2246,892.857,12.95
10,1696,1149.43,10.65
