ef,recall,qps,dist_comp
1700,0.3285,98.971,3102.14
1400,0.3275,119.495,2721.17
1100,0.326,174.005,2207.5
1000,0.326,196.375,2017.59
900,0.325,220.852,1822.04
800,0.3235,265.762,1570.02
700,0.324,301.603,1378.04
600,0.324,369.061,1245.33
500,0.322,444.191,1120.84
400,0.316,555.914,1000.04
300,0.317,703.406,880.82
250,0.316,877.247,812.9
200,0.3145,1068.18,744.655
180,0.313,1172.29,711.25
160,0.3125,1316.95,678.94
140,0.309,1481.49,649.93
120,0.3065,1681.51,613.75
100,0.3035,1950.64,572.08
90,0.3025,1930.48,552.175
80,0.3005,2165.09,522.075
70,0.2955,2616.92,489.83
60,0.2945,2777.07,461.585
55,0.2945,3059.17,448.395
50,0.2925,3129.42,432.445
45,0.2905,3305.03,417.865
40,0.286,3823.2,400.74
35,0.284,3889.33,383.915
30,0.2835,4142.5,363.565
25,0.283,4872.09,348.03
20,0.279,5438.13,331.25
15,0.2725,5937.14,312.835
10,0.2595,6273.9,291.8
