L,Cmps,QPS,Recall
1700,8726,180.668,84.55
1400,7702,207.469,83.75
1100,6539,248.139,82.35
1000,6109,268.097,81.55
900,5673,289.436,80.85
800,5226,315.457,80.2
700,4754,347.222,79.6
600,4247,392.157,78.6
500,3704,453.515,77.75
400,3147,537.634,76.45
300,2535,673.401,74.25
250,2226,769.231,73.1
200,1877,921.659,71.9
180,1727,1005.03,71.35
160,1587,1092.9,70.4
140,1410,1234.57,69.25
120,1255,1398.6,68.1
100,1101,1600,66.8
90,1021,1724.14,65.95
80,924,1904.76,64.25
70,842,2061.86,63.15
60,756,2298.85,62.35
55,713,2469.14,62.1
50,651,2702.7,61.6
45,603,2857.14,60.9
40,555,3174.6,60.65
35,500,3508.77,59.9
30,449,3921.57,57.7
25,395,4444.44,56.8
20,337,5128.21,54.9
15,278,6250,52.75
10,215,7692.31,48.7
