efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.018,756.461,94.5395,446.45
1400,0.018,891.95,96.369,421.92
1100,0.0185,1081.71,98.2308,382.85
1000,0.0185,1151.14,98.7718,370.54
900,0.0185,1231.15,99.3257,353.92
800,0.0185,1324.27,99.8923,333.435
700,0.0185,1449.87,100.549,315.355
600,0.0185,1489.82,100.737,291.77
500,0.0185,1847.57,102.073,263.98
400,0.0185,2223.95,103.037,225.685
300,0.0185,2911.84,104.177,179.125
250,0.0185,3502.26,104.809,153.76
200,0.019,4438.14,105.475,126.03
180,0.019,4812.91,105.67,115.01
160,0.019,5227.69,105.854,102.695
140,0.019,5978.37,106.124,90.595
120,0.019,7182.33,106.441,74.75
100,0.0185,8672.64,106.713,62.01
90,0.0185,9537.39,106.832,59.72
80,0.019,10154.3,106.905,57.28
70,0.02,11435.8,107.031,54.455
60,0.02,12777,107.136,50.85
55,0.02,13542,107.187,49.22
50,0.02,14090.7,107.22,47.465
45,0.02,15190.7,107.279,45.755
40,0.0205,16514,107.34,43.235
35,0.02,18076.6,107.4,40.845
30,0.02,19633,107.451,38.505
25,0.02,21472.9,107.501,36.28
20,0.02,24133.6,107.561,33.675
15,0.019,27548.8,107.62,30.24
10,0.0195,33310.6,107.693,25.725
