nprobe,recall,qps
1,0.5304,11.8
2,0.6798,11.9
3,0.7604,11.9
5,0.8423,11.8
10,0.9176,11.7
20,0.9606,11.6
30,0.9792,11.6
50,0.9899,11.4
100,0.9978,11.1
200,0.9995,10.6
500,0.9999,9.5
1000,1.0000,8.2
