ef,recall,qps
2000,0.9961,8.7
1900,0.9961,8.9
1800,0.9961,9.0
1700,0.9961,9.2
1600,0.9961,9.4
1500,0.9961,9.5
1400,0.9961,9.6
1300,0.9961,9.6
1200,0.9960,9.8
1100,0.9960,10.0
1000,0.9960,10.2
900,0.9960,10.3
800,0.9959,10.5
700,0.9955,10.7
600,0.7181,14.8
500,0.0000,243.1
400,0.0000,254.7
300,0.0000,263.0
250,0.0000,257.9
200,0.0000,252.0
180,0.0000,242.4
160,0.0000,252.9
140,0.0000,251.5
120,0.0000,249.9
100,0.0000,257.2
90,0.0000,247.0
80,0.0000,255.1
70,0.0000,248.7
60,0.0000,255.4
55,0.0000,262.4
50,0.0000,238.7
45,0.0000,252.1
40,0.0000,215.8
35,0.0000,224.4
30,0.0000,213.7
25,0.0000,215.3
20,0.0000,225.0
15,0.0000,216.9
10,0.0000,218.4
