efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0,20410.2,19.4655,0
1400,0,27901.6,19.4704,0
1100,0,29855.9,19.4713,0
1000,0,23657.2,19.468,0
900,0,32367.2,19.4723,0
800,0,33216.9,19.4726,0
700,0,33893.4,19.4728,0
600,0,34465.7,19.473,0
500,0,34673.7,19.4731,0
400,0,34959.8,19.4732,0
300,0,34874.1,19.4732,0
250,0,33546.4,19.4727,0
200,0,36456.4,19.4736,0
180,0,34536.7,19.4731,0
160,0,34861,19.4732,0
140,0,34935.1,19.4732,0
120,0,35900.9,19.4735,0
100,0,35142.9,19.4732,0
90,0,35423.4,19.4733,0
80,0,34910.3,19.4732,0
70,0,35836.5,19.4735,0
60,0,34703.8,19.4731,0
55,0,37098,19.4738,0
50,0,35511.8,19.4734,0
45,0,32905.5,19.4725,0
40,0,17611.7,19.4625,0
35,0,32290,19.4723,0
30,0,33272.3,19.4726,0
25,0,36516.7,19.4736,0
20,0,35272.9,19.4733,0
15,0,36232.8,19.4736,0
10,0,35403.9,19.4733,0
