nprobe,recall,qps
1,0.2580,85.6
2,0.4340,97.7
3,0.6290,85.4
5,0.8710,93.5
10,0.9740,83.0
20,0.9885,84.0
30,0.9930,81.2
50,0.9940,70.4
100,0.9970,71.0
200,0.9975,64.6
500,0.9975,57.9
1000,0.9975,56.5
