ef,recall,qps
2000,0.8905,13.3
1900,0.8880,11.8
1800,0.8835,14.5
1700,0.8835,17.2
1600,0.8785,18.7
1500,0.8785,19.8
1400,0.8765,18.8
1300,0.8765,19.7
1200,0.8755,20.9
1100,0.8740,22.1
1000,0.8720,23.2
900,0.8685,24.4
800,0.8670,26.0
700,0.8665,27.7
600,0.8625,30.5
500,0.8600,33.7
400,0.8535,35.4
300,0.8470,34.1
250,0.8315,35.8
200,0.8190,36.9
180,0.8165,36.5
160,0.8145,37.6
140,0.8060,37.0
120,0.8030,38.4
100,0.7905,39.3
90,0.7830,40.3
80,0.7785,38.7
70,0.7725,38.6
60,0.7610,39.3
55,0.7560,40.3
50,0.7530,40.4
45,0.7480,40.1
40,0.7450,40.2
35,0.7370,40.6
30,0.7310,40.9
25,0.7185,41.8
20,0.7065,41.1
15,0.6920,41.1
10,0.6760,40.7
