L,Cmps,QPS,Recall
1700,10508,150.489,100
1400,9451,172.563,100
1100,8253,204.499,100
1000,7810,218.579,100
900,7349,234.742,100
800,6861,255.754,100
700,6334,281.294,100
600,5762,311.042,100
500,5148,336.7,99.9
400,4475,404.858,99.9
300,3712,500,99.7
250,3286,571.429,99.55
200,2825,671.141,99.4
180,2628,724.638,99.35
160,2421,796.813,99.25
140,2207,881.057,99.2
120,1979,995.025,98.85
100,1739,1136.36,98.55
90,1612,1234.57,98.5
80,1483,1342.28,98.3
70,1348,1481.48,98.05
60,1208,1666.67,97.5
55,1136,1769.91,96.8
50,1057,1904.76,96.05
45,981,2040.82,95.6
40,903,2247.19,95.05
35,822,2298.85,94.05
30,739,2739.73,92.65
25,651,3225.81,90.2
20,564,3773.58,87.95
15,472,4545.45,83.45
10,374,5714.29,75.55
