ef,recall,qps,dist_comp
1700,0.9763,39.2585,5584.93
1400,0.9745,51.0856,5017.22
1100,0.9719,71.0553,4358.34
1000,0.9699,80.1035,4124.89
900,0.9687,92.4646,3879.3
800,0.967,107.912,3619.42
700,0.9646,128.001,3345.93
600,0.9615,156.538,3063.43
500,0.9577,194.95,2760.55
400,0.954,253.1,2439.84
300,0.9448,354.414,2094.62
250,0.9379,424.134,1919.45
200,0.9257,548.526,1724.39
180,0.9207,605.29,1644.13
160,0.9103,702.889,1551.27
140,0.9006,800.245,1458.39
120,0.89,950.046,1361.31
100,0.873,1136.92,1248.44
90,0.8598,1306.52,1185.61
80,0.8478,1465.33,1122.42
70,0.8297,1689.17,1049.8
60,0.8161,1932.35,983.068
55,0.8055,2093.77,943.787
50,0.7949,2311.69,907.665
45,0.7814,2478.01,867.33
40,0.7648,2808.38,822.323
35,0.7399,3107.22,771.568
30,0.7202,3630.73,722.322
25,0.6989,4109.47,671.676
20,0.6653,4800.38,613.478
15,0.6326,5727.15,551.741
10,0.5931,6858.21,484.775
