efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.1283,372.151,20.2422,743.374
1400,0.1202,461.706,20.4581,621.717
1100,0.1112,601.87,20.6714,504.248
1000,0.1079,665.979,20.74,464.818
900,0.103,746.383,20.8098,423.771
800,0.0955,850.606,20.8811,382.326
700,0.0867,974.59,20.9465,343.37
600,0.0774,1145.44,21.0139,304.718
500,0.068,1377.58,21.0791,264.664
400,0.0613,1727.95,21.1447,225.292
300,0.0589,2245.7,21.2045,185.501
250,0.0576,2646.89,21.2349,163.18
200,0.0555,3233.27,21.2658,139.456
180,0.0541,3542,21.278,129.461
160,0.0525,3922.48,21.2904,119.097
140,0.0508,4370.3,21.3023,108.304
120,0.0484,4962.63,21.3147,97.006
100,0.0458,5742.77,21.3271,84.958
90,0.0434,6202.47,21.333,78.569
80,0.0423,6856.6,21.34,71.93
70,0.0406,7603.28,21.3465,65.164
60,0.0392,8517.74,21.3529,58.101
55,0.0387,9064.87,21.3562,54.533
50,0.038,9732.47,21.3596,50.472
45,0.0362,10477.1,21.363,46.784
40,0.0334,11377.9,21.3664,42.932
35,0.0302,12474.8,21.3699,38.893
30,0.0282,13783.8,21.3734,34.737
25,0.0245,15406.2,21.3769,30.866
20,0.0211,17525.7,21.3805,26.556
15,0.016,19793.7,21.3835,22.158
10,0.0105,23596.1,21.3872,17.584
