L,Cmps,QPS,Recall
1700,2816,1133.79,99.52
1400,2574,1315.79,99.45
1100,2288,1552.8,99.34
1000,2181,1697.79,99.27
900,2065,1841.62,99.21
800,1938,2012.07,99.17
700,1803,2207.51,99.07
600,1657,2493.77,98.99
500,1495,2808.99,98.69
400,1321,3322.26,98.54
300,1129,4065.04,98.21
250,1019,4608.29,98.05
200,903,5376.34,97.75
180,853,5780.35,97.44
160,801,6250,97.12
140,747,6329.11,96.97
120,689,7352.94,96.5
100,629,8474.58,96
90,597,9090.91,95.7
80,565,9803.92,95.51
70,529,10638.3,95.1
60,490,11764.7,94.6
55,470,11764.7,94.09
50,449,13157.9,93.48
45,426,13888.9,92.73
40,403,14925.4,91.89
35,380,16129,91.29
30,353,17857.1,89.84
25,323,20000,88.07
20,292,22727.3,86
15,254,26315.8,82.57
10,211,33333.3,77.56
