efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.6649,98.928,4.30469,7942.35
1400,0.6509,122.457,4.34098,6781.8
1100,0.6307,158.931,4.37659,5586.37
1000,0.6211,175.374,4.38792,5177.93
900,0.6126,195.972,4.39949,4762.14
800,0.6044,221.545,4.41092,4338.99
700,0.5956,253.348,4.42197,3911.01
600,0.586,295.721,4.43306,3471.3
500,0.5727,354.891,4.44417,3018.93
400,0.5547,443.464,4.45531,2549.79
300,0.5354,585.401,4.46619,2064.06
250,0.523,697.963,4.47169,1808.12
200,0.5063,862.091,4.47715,1538.59
180,0.4985,952.572,4.47936,1426.75
160,0.4905,1066.89,4.48162,1311.19
140,0.4845,1206.13,4.48379,1192.17
120,0.4715,1388.75,4.48599,1067.49
100,0.4545,1642.73,4.48823,936.858
90,0.4459,1808.7,4.48935,868.649
80,0.4333,1995.49,4.4904,798.335
70,0.4181,2252.71,4.49155,725.702
60,0.3959,2570.19,4.49266,649.841
55,0.381,2790.33,4.49328,610.314
50,0.3662,3038.01,4.49387,569.396
45,0.3464,3328.15,4.49445,527.919
40,0.3258,3689.86,4.49504,484.833
35,0.297,4141.04,4.49564,439.758
30,0.2664,4727.55,4.49624,393.098
25,0.2297,5522.51,4.49686,344.226
20,0.1937,6678.1,4.49749,292.773
15,0.1506,8414.25,4.49812,239.515
10,0.0965,11550.3,4.49877,182.615
