ef,recall,qps,dist_comp
1700,0.3287,46.2211,5318.46
1400,0.3282,60.2969,4771.18
1100,0.3279,83.5387,4143.17
1000,0.3277,92.8296,3925.1
900,0.3272,106.026,3707.26
800,0.3269,123.041,3479.12
700,0.3261,148.676,3240.05
600,0.3255,173.628,2990.2
500,0.3234,222.21,2729.43
400,0.3217,280.429,2452.75
300,0.3172,398.089,2164.93
250,0.3139,464.817,2011.52
200,0.3093,583.525,1846.54
180,0.3054,652.275,1770.54
160,0.303,771.235,1693.83
140,0.3008,843.258,1611.46
120,0.2962,1027.98,1524.75
100,0.2855,1254.65,1421.44
90,0.2805,1365.73,1373.71
80,0.2747,1440.77,1315.49
70,0.2634,1781.95,1246.75
60,0.2546,2068.73,1178.92
55,0.2483,2025.94,1146.18
50,0.2422,2217.78,1107.74
45,0.2374,2650.23,1069.36
40,0.2312,2906.81,1029.23
35,0.2233,3192.96,989.012
30,0.2103,3581.47,943.252
25,0.2044,3593.25,897.319
20,0.1946,4056.3,844.389
15,0.1865,5137.6,790.999
10,0.1748,6026.96,731.531
