L,Cmps,QPS,Recall
1700,35128,131.199,77.1
1400,30743,153.468,75.25
1100,25925,188.679,73.03
1000,24250,208.507,71.99
900,22477,229.832,70.9
800,20708,253.614,69.82
700,18865,280.899,68.68
600,16864,317.965,66.75
500,14746,369.14,64.46
400,12493,438.982,61.84
300,10082,533.049,58.66
250,8793,615.006,56.49
200,7456,725.689,54.39
180,6920,801.282,53.26
160,6360,873.362,51.95
140,5802,942.507,50.8
120,5189,1052.63,49.39
100,4559,1187.65,47.33
90,4230,1269.04,46.05
80,3900,1364.26,44.9
70,3545,1481.48,43.59
60,3185,1605.14,41.53
55,3002,1697.79,40.49
50,2813,1788.91,39.48
45,2620,1890.36,38.35
40,2422,2008.03,37.54
35,2229,2118.64,36.11
30,2016,2298.85,34.49
25,1792,2512.56,32.32
20,1554,2754.82,29.88
15,1304,3095.98,27.18
10,1021,3571.43,23.4
