L,Cmps,QPS,Recall
1700,7132,589.275,93.79
1400,6312,687.758,93.12
1100,5399,817.661,92.3
1000,5073,892.857,91.89
900,4740,957.854,91.6
800,4386,1055.97,90.98
700,4014,1166.86,90.29
600,3635,1287,89.57
500,3228,1479.29,88.93
400,2781,1739.13,87.69
300,2291,2079,85.77
250,2017,2421.31,84.64
200,1739,2967.36,83.65
180,1620,3184.71,82.81
160,1494,3448.28,81.92
140,1370,3731.34,81.13
120,1238,4098.36,79.97
100,1107,4587.16,79.09
90,1029,4878.05,78.06
80,956,5235.6,77.24
70,876,5649.72,76.14
60,799,6097.56,75.02
55,755,6211.18,74.3
50,712,6711.41,73.64
45,663,7092.2,72.67
40,620,7462.69,71.85
35,570,7936.51,70.52
30,519,8547.01,68.98
25,465,9259.26,67.34
20,402,10204.1,64.58
15,339,11236,61.38
10,268,12820.5,57.42
