ef,recall,qps,distance_computations_per_query
1700,0.5675,1.39826,582723
1400,0.5675,1.41118,582723
1100,0.5675,1.39777,582723
1000,0.5675,1.39782,582723
900,0.5675,1.29997,582723
800,0.5675,1.38562,582723
700,0.5675,1.39213,582723
600,0.5675,1.39232,582723
500,0.5675,1.40169,581958
400,0.5675,1.46579,573233
300,0.5675,1.58441,549286
250,0.5675,1.66099,529544
200,0.5675,1.80783,501481
180,0.5675,1.87749,488360
160,0.5675,1.97589,471543
140,0.5675,2.08757,454212
120,0.5675,2.30216,432473
100,0.5675,2.43947,406395
90,0.5675,2.49891,391370
80,0.5675,2.63539,375089
70,0.565,2.79603,356735
60,0.5625,3.0191,335844
55,0.5625,3.1799,324760
50,0.5625,3.35205,311436
45,0.5625,3.62812,298184
40,0.5625,3.7237,283901
35,0.5625,3.97812,267570
30,0.5625,4.31872,249498
25,0.5575,4.81116,226956
20,0.555,5.37779,206323
15,0.5525,6.56491,172268
10,0.5475,8.79701,131014
