ef,recall,qps,distance_computations_per_query
1700,0.755,1.83883,519253
1400,0.755,2.00501,485567
1100,0.755,2.25175,444335
1000,0.755,2.3553,428339
900,0.755,2.48741,411737
800,0.755,2.63123,392568
700,0.755,2.81452,371637
600,0.755,3.03007,349126
500,0.755,3.32392,322415
400,0.755,3.76541,289526
300,0.755,4.44,250371
250,0.7525,4.96956,226268
200,0.7525,5.79039,196612
180,0.7525,6.4041,181661
160,0.745,7.1048,164761
140,0.7375,7.73694,150433
120,0.735,8.60215,134460
100,0.72,9.9975,116912
90,0.715,10.8873,107815
80,0.7125,12.0736,97573
70,0.71,13.5685,87738.3
60,0.7025,15.4859,77121.1
55,0.7,16.9635,70802.8
50,0.7,18.3908,65471.7
45,0.69,19.8118,60681.1
40,0.68,21.8103,55184.4
35,0.67,24.4349,49619.7
30,0.6675,27.5672,44061.2
25,0.6475,32.4939,37596
20,0.6025,40.1204,31315.7
15,0.5675,50.9554,25257
10,0.5,73.3945,17768.5
