ef,recall,qps,distance_computations_per_query
1700,0.6475,1.32192,635222
1400,0.6475,1.32018,632420
1100,0.6475,1.32882,625030
1000,0.6475,1.36412,620267
900,0.6475,1.37741,613842
800,0.6475,1.40533,605240
700,0.6475,1.47373,593288
600,0.6475,1.53687,576989
500,0.6475,1.6666,552848
400,0.6475,1.84145,520087
300,0.6475,2.03697,471433
250,0.6475,2.2945,441215
200,0.6475,2.46305,407095
180,0.6475,2.57516,389801
160,0.6475,2.74706,372115
140,0.6475,2.92954,352611
120,0.6475,3.13701,330244
100,0.6475,3.43849,304960
90,0.6475,3.65698,289203
80,0.6475,3.90816,273076
70,0.6475,4.20036,256349
60,0.6475,4.66038,236171
55,0.6475,4.89237,223727
50,0.6475,5.22057,210875
45,0.6475,5.63063,196777
40,0.6425,6.23733,178976
35,0.635,6.88942,163426
30,0.6325,7.86318,144552
25,0.6275,9.21022,124928
20,0.62,11.2296,104934
15,0.6175,14.8865,79937.4
10,0.5975,20.9974,57223.8
