efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9355,58.3438,18.4102,14054
1400,0.929,70.4259,19.4638,12280.2
1100,0.9185,91.5678,20.7905,10360.4
1000,0.9125,101.066,21.2438,9685.37
900,0.906,111.158,21.6571,8990.24
800,0.9005,122.903,22.068,8266.25
700,0.8965,138.018,22.5106,7504.71
600,0.89,157.66,22.9775,6709.91
500,0.877,184.054,23.468,5877.12
400,0.8665,222.625,23.9982,4989.58
300,0.843,283.788,24.569,4022.39
250,0.8255,329.477,24.8675,3505.26
200,0.801,397.931,25.1946,2960.74
180,0.793,436.79,25.3373,2728.39
160,0.779,482.695,25.4779,2493.36
140,0.7705,538.34,25.6177,2248.93
120,0.753,613.226,25.7674,1997.09
100,0.7325,716.24,25.9241,1732.58
90,0.7135,778.483,25.9993,1596.26
80,0.697,857.567,26.0796,1454.9
70,0.6735,968.536,26.1708,1310.93
60,0.654,1101.95,26.2567,1163.16
55,0.6345,1186.32,26.3013,1087.06
50,0.6155,1287.08,26.347,1008.37
45,0.598,1408.4,26.3936,928.375
40,0.576,1552.4,26.4395,848.385
35,0.5535,1738.69,26.4879,764.33
30,0.521,1977.13,26.5366,679.55
25,0.468,2312.01,26.5883,590.165
20,0.4255,2793.61,26.6411,497.625
15,0.3515,3543.34,26.695,402.515
10,0.25,4812.77,26.7481,303.11
