nprobe,recall,qps
1,0.1835,14.5
2,0.2914,14.4
3,0.3661,14.4
5,0.4722,14.4
10,0.6227,14.4
20,0.7631,14.3
30,0.8332,14.2
50,0.9021,14.2
100,0.9625,14.0
200,0.9892,13.8
500,0.9986,13.3
1000,0.9999,12.6
