ef,recall,qps
2000,1.0000,11.4
1900,1.0000,11.5
1800,1.0000,11.5
1700,1.0000,11.7
1600,1.0000,11.8
1500,1.0000,12.0
1400,1.0000,12.1
1300,1.0000,12.2
1200,1.0000,12.3
1100,1.0000,12.3
1000,1.0000,12.4
900,1.0000,12.5
800,1.0000,12.5
700,1.0000,12.6
600,1.0000,12.9
500,0.9999,12.9
400,0.9999,12.9
300,0.9999,12.9
250,0.9998,13.0
200,0.9997,12.9
180,0.9997,13.0
160,0.9996,13.1
140,0.9994,13.0
120,0.9993,13.1
100,0.9990,13.1
90,0.9988,13.1
80,0.9986,13.1
70,0.9983,13.1
60,0.9977,13.1
55,0.9972,13.1
50,0.9967,13.1
45,0.9958,13.1
40,0.9948,13.1
35,0.9937,13.1
30,0.9921,13.1
25,0.9894,13.1
20,0.9854,13.1
15,0.9790,13.2
10,0.9666,13.1
