ef,recall,qps
2000,0.9999,16.1
1900,0.9999,16.4
1800,0.9999,16.7
1700,0.9999,16.8
1600,0.9999,17.1
1500,0.9999,17.5
1400,0.9999,17.5
1300,0.9999,17.6
1200,0.9999,17.6
1100,0.9999,17.8
1000,0.9999,18.0
900,0.9999,18.3
800,0.9999,18.1
700,0.9999,18.5
600,0.9999,18.6
500,0.9998,18.9
400,0.9999,18.9
300,0.9997,18.7
250,0.9997,19.0
200,0.9997,19.0
180,0.9996,19.0
160,0.9996,19.1
140,0.9996,19.2
120,0.9996,19.0
100,0.9995,19.1
90,0.9996,19.1
80,0.9996,18.9
70,0.9997,19.1
60,0.9994,19.0
55,0.9995,19.0
50,0.9995,19.1
45,0.9994,19.0
40,0.9994,19.3
35,0.9992,19.2
30,0.9987,19.3
25,0.9988,19.3
20,0.9979,19.1
15,0.9967,19.0
10,0.9937,19.1
