ef,recall,qps
2000,0.9922,24.0
1900,0.9922,24.5
1800,0.9922,25.4
1700,0.9921,26.0
1600,0.9921,26.5
1500,0.9921,27.6
1400,0.9921,27.9
1300,0.9921,28.4
1200,0.9921,29.1
1100,0.9921,30.1
1000,0.9921,30.9
900,0.9920,31.7
800,0.9920,32.8
700,0.9918,33.8
600,0.9918,35.1
500,0.9916,35.8
400,0.9910,36.5
300,0.9902,37.4
250,0.9896,38.8
200,0.9886,38.9
180,0.9881,39.9
160,0.9874,39.3
140,0.9866,40.1
120,0.9856,40.8
100,0.9838,40.0
90,0.9823,40.8
80,0.9812,40.2
70,0.9791,42.1
60,0.9766,41.0
55,0.9749,42.1
50,0.9728,42.8
45,0.9706,42.0
40,0.9665,41.8
35,0.9622,42.2
30,0.9568,41.6
25,0.9496,42.6
20,0.9376,42.1
15,0.9178,42.3
10,0.8726,43.6
