nprobe,recall,qps
1,0.5343,40.8
2,0.6926,40.5
3,0.7726,40.4
5,0.8517,42.5
10,0.9230,42.4
20,0.9623,37.1
30,0.9769,34.5
50,0.9886,32.1
100,0.9954,28.0
200,0.9988,23.0
500,1.0000,15.6
1000,1.0000,10.0
