L,Cmps,QPS,Recall
1700,1395,1071.81,86.79
1400,1324,1179.25,86.79
1100,1233,1317.52,86.79
1000,1196,1381.22,86.79
900,1154,1451.38,86.79
800,1107,1533.74,86.79
700,1055,1631.32,86.79
600,995,1748.25,86.79
500,926,1904.76,86.79
400,845,2132.2,86.79
300,747,2487.56,86.79
250,690,2747.25,86.79
200,623,3105.59,86.79
180,594,3289.47,86.79
160,563,3496.5,86.79
140,528,3731.34,86.79
120,491,4098.36,86.78
100,449,4524.89,86.76
90,427,4784.69,86.77
80,403,5102.04,86.8
70,377,5494.51,86.84
60,349,5988.02,86.9
55,335,6289.31,86.98
50,319,6622.52,87.09
45,303,6993.01,87.21
40,285,7462.69,87.53
35,267,8064.52,87.61
30,247,8849.56,87.7
25,225,9803.92,88.05
20,201,10989,88.39
15,175,12987,88.59
10,146,15873,88.42
