L,Cmps,QPS,Recall
1700,6754,160.72,85.6
1400,5979,174.246,84.17
1100,5119,191.095,82.31
1000,4810,197.55,81.44
900,4485,203.293,80.44
800,4144,211.149,79.51
700,3783,222.025,78.24
600,3394,231.267,76.6
500,2982,248.509,74.82
400,2541,265.322,72.13
300,2064,277.162,69.01
250,1798,293.083,67.07
200,1519,308.547,64.87
180,1405,315.259,63.81
160,1291,321.647,62.7
140,1169,328.407,61.26
120,1040,337.268,59.25
100,909,345.781,56.89
90,840,350.508,55.52
80,770,355.114,54.03
70,696,360.231,52.42
60,618,366.838,50.37
55,580,369.959,49.4
50,540,372.856,48.43
45,501,375.799,47.32
40,460,378.644,45.84
35,417,382.702,44.58
30,374,386.548,43.08
25,330,390.016,41.69
20,282,394.789,39.42
15,232,396.197,37.19
10,179,403.551,34.4
