L,Cmps,QPS,Recall
1700,78962,19.0284,54.1
1400,68879,21.3968,51.34
1100,57903,23.6116,48.13
1000,53972,25.2519,46.68
900,49908,27.4439,45.51
800,45688,28.1817,44.26
700,41286,30.1523,42.58
600,36665,32.4907,40.79
500,31797,36.1037,38.89
400,26640,38.7162,36.83
300,21143,43.0663,33.62
250,18211,46.4188,31.91
200,15178,49.6919,29.72
180,13898,49.0942,28.84
160,12629,50.2159,27.86
140,11313,53.1293,26.91
120,9947,55.8129,25.56
100,8573,55.7693,24.48
90,7857,57.8603,23.48
80,7121,61.7208,22.46
70,6379,63.2431,21.61
60,5631,64.9477,20.55
55,5240,65.7419,19.99
50,4855,66.6578,19.38
45,4455,67.5174,18.52
40,4057,68.3948,17.86
35,3648,69.5507,16.91
30,3253,70.5368,16.06
25,2832,71.8856,15.01
20,2387,73.0941,13.76
15,1931,74.4879,12.24
10,1466,76.0803,10.5
